,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price,Close Price
59,414.25,32.9,1338.05,821.25,285.5,187.4,1149.65,505.8,331.95,1798.15,248.95,82.9,527.7,396.1,266.3,566.5,946.15,483.2,2206.95,31969.85,215.7,166.35,381.6,18.55,399.7,1179.95,58.55,776.95,518.4,633.9
60,414.8,31.6,1298.3,800.95,280.45,181.75,1147.35,499.45,329.85,1779.8,253.1,80.3,505.05,398.65,259.5,578.6,936.3,473.65,2095.65,32120.85,214.25,164.15,386.75,17.7,400.15,1171.2,56.9,775.8,510.4,630.2
61,397.25,31.55,1218.45,805.2,270.25,180.7,1155.55,486.95,319.95,1697.7,256.1,78.1,495.95,392.5,264.8,561.85,904.35,464.35,2048.35,31489.1,207.2,159.8,382.2,16.95,403.95,1153.9,56.4,781.15,483.05,613.7
62,385.65,28.7,1210.8,800.25,262.6,178.0,1151.1,485.5,302.3,1635.6,247.35,69.55,481.5,388.35,251.8,548.2,893.0,451.3,1944.45,30111.7,199.95,158.6,365.0,15.9,390.25,1157.7,54.65,723.3,446.55,560.3
63,382.75,27.2,1224.3,801.2,257.05,176.4,1143.9,489.7,306.7,1695.4,238.2,70.6,484.3,378.0,254.45,541.4,892.0,457.15,2011.15,29627.35,203.0,151.85,368.95,15.5,390.75,1131.95,53.6,718.15,443.4,557.3
64,396.2,28.6,1238.35,811.25,262.9,188.3,1154.0,491.75,304.75,1710.9,247.4,74.85,478.35,374.5,261.4,570.05,886.8,467.25,2002.05,30385.6,207.95,151.95,372.5,16.05,389.2,1146.9,54.7,731.45,477.6,564.7
65,397.55,29.55,1253.35,813.0,272.7,190.75,1141.3,499.5,315.45,1721.35,246.6,76.0,483.95,378.6,258.3,590.45,921.0,468.0,2005.25,30617.0,206.95,150.0,371.2,16.5,393.7,1142.25,56.75,738.55,501.0,587.05
66,389.3,28.7,1215.45,806.0,269.25,190.0,1134.95,497.15,328.9,1728.75,242.1,78.8,493.7,386.85,250.9,573.2,901.5,475.7,2011.25,30928.0,213.3,151.05,376.2,18.55,405.0,1134.0,56.45,746.0,523.95,591.2
67,386.2,28.8,1205.6,796.55,270.15,189.95,1140.0,490.4,329.6,1704.95,240.55,77.85,503.3,383.0,248.9,565.3,899.0,466.2,1982.0,31511.45,208.95,151.45,381.25,18.25,404.4,1130.6,55.85,774.35,513.25,580.25
68,375.95,27.9,1154.25,759.75,268.9,183.7,1134.45,494.8,327.55,1690.6,238.85,75.85,497.75,387.65,253.1,561.75,881.5,461.4,1931.1,31634.25,201.35,145.15,374.2,17.5,410.6,1127.1,54.3,744.9,495.15,559.85
69,375.65,27.75,1153.45,758.4,259.65,186.1,1129.45,499.2,333.3,1682.9,237.15,74.0,510.35,386.35,253.8,559.25,898.55,453.95,1984.15,30977.15,197.15,143.7,377.75,17.0,409.5,1117.7,53.85,731.35,489.6,556.75
70,385.0,28.35,1191.75,767.3,259.8,183.3,1141.3,502.65,339.5,1779.3,237.2,79.3,509.7,387.8,259.9,559.15,880.75,460.9,2030.95,30648.25,198.85,141.55,385.45,17.2,409.2,1124.15,54.85,737.0,500.45,574.4
71,380.05,28.55,1231.95,777.2,257.0,184.5,1135.6,506.85,340.2,1760.1,240.55,85.05,508.2,389.45,259.2,574.05,891.85,468.2,2088.15,30750.9,202.55,152.6,383.0,17.25,419.35,1131.7,54.6,733.75,493.75,574.25
72,387.5,30.3,1232.9,772.2,252.6,186.1,1155.9,510.6,340.9,1829.95,244.25,92.6,508.0,390.7,258.0,574.1,895.25,478.0,2049.4,31288.35,200.05,151.75,382.0,17.45,433.6,1138.9,55.0,765.15,515.2,574.6
73,383.3,29.8,1196.05,763.65,249.15,187.0,1151.7,503.6,337.1,1773.4,244.0,93.7,504.1,383.85,253.9,568.9,902.25,472.1,2042.05,30859.15,195.55,148.9,379.0,16.85,439.75,1130.05,54.05,756.2,494.0,545.7
74,389.75,32.15,1192.35,781.85,248.35,191.25,1153.35,503.9,342.15,1788.05,242.0,104.45,520.95,384.3,251.15,566.35,932.8,462.1,2038.9,30984.0,196.4,143.9,381.0,17.2,444.4,1139.65,54.6,763.05,499.9,560.5
75,392.95,33.35,1193.95,778.25,253.4,195.45,1168.55,500.35,348.1,1781.9,246.0,114.85,529.0,389.95,252.6,571.9,912.6,461.0,2020.9,31450.85,196.85,154.4,378.3,17.2,440.65,1136.3,54.45,777.15,502.05,578.5
76,394.9,32.65,1200.95,800.75,256.35,192.75,1215.9,507.55,341.8,1799.95,249.95,122.55,537.4,388.8,251.95,568.4,909.75,460.85,2217.55,31772.4,204.25,146.05,384.15,17.7,440.25,1139.2,57.9,811.6,505.25,578.35
77,384.85,30.85,1194.55,787.75,250.7,189.85,1197.05,501.75,345.4,1801.35,244.75,134.8,531.15,389.9,249.5,561.7,907.9,454.9,2195.1,31753.55,203.55,149.1,379.6,17.2,438.35,1130.65,58.4,859.2,493.55,569.8
78,390.3,31.05,1197.35,800.3,253.45,188.9,1206.35,503.4,343.8,1794.4,255.45,139.45,539.25,398.05,242.85,559.6,898.7,455.1,2209.15,31935.3,204.6,147.85,378.7,17.1,433.7,1126.65,59.2,854.7,509.75,576.65
79,385.05,31.45,1198.85,786.0,254.85,187.45,1206.05,492.85,343.45,1858.95,259.5,146.4,534.9,390.85,239.1,558.3,900.35,450.6,2196.9,32082.6,207.8,152.2,382.25,17.2,436.1,1117.6,60.25,857.4,507.8,580.6
80,387.7,31.5,1201.75,780.15,253.2,185.1,1198.65,496.6,339.7,1963.2,258.75,153.7,524.1,391.95,252.2,554.2,916.25,445.25,2224.95,32861.95,207.6,152.2,381.55,17.5,470.45,1129.1,60.2,893.05,505.35,578.8
81,385.9,30.85,1192.5,796.1,252.4,187.4,1203.95,494.0,345.8,1891.2,256.35,156.35,513.35,392.0,253.45,552.0,915.05,442.85,2162.5,32617.75,219.65,153.4,380.1,17.25,468.5,1172.4,58.95,884.9,509.1,569.85
82,385.35,31.25,1178.05,783.75,256.2,196.35,1238.05,493.9,367.85,1920.45,266.6,148.95,512.25,392.35,252.95,553.85,912.15,446.6,2159.5,32498.6,221.7,154.2,394.8,17.3,475.35,1217.85,58.95,901.3,508.1,572.85
