,Date,Unnamed: 0,Symbol,Series,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,year,month,Day_Perc_Change,Trend,Log_Ret,Volatility,a,b,Rolling Mean,Bollinger High,Bollinger Low,Call
59,2017-08-08,60,INFY,EQ,968.25,968.5,970.25,955.05,963.5,963.85,963.45,3002324,2892578680.85,83371,2062272,68.69,2017,8,-0.004544280919184018,Slight or No change,-0.0045546375512611256,0.02570398256837725,983.459523809523,967.6852941176472,986.1678571428572,1014.9577220032777,957.3779922824367,Hold Buy/Liquidate Short
60,2017-08-09,61,INFY,EQ,963.85,967.65,973.9,964.55,970.7,969.35,969.56,1961205,1901504150.2,74542,1112721,56.74,2017,8,0.005706282097836857,Slight or No change,0.005690062941616154,0.019322749318799026,983.1738095238087,968.45,986.1607142857144,1014.9684904413452,957.3529381300838,Hold Buy/Liquidate Short
61,2017-08-10,62,INFY,EQ,969.35,969.9,987.5,969.35,984.95,981.25,982.0,4570342,4488072666.75,118468,3294424,72.08,2017,8,0.0122762676020014,Slight or No change,0.012201525311401779,0.02661669612957964,983.5976190476184,969.6588235294117,986.2428571428572,1014.9826675684093,957.5030467173053,Hold Buy/Liquidate Short
62,2017-08-11,63,INFY,EQ,981.25,976.0,997.0,969.6,986.5,987.7,986.81,3272078,3228922463.05,85957,2064364,63.09,2017,8,0.006573248407643284,Slight or No change,0.006551738817463409,0.02605763104089076,984.1047619047612,970.9661764705883,986.039285714286,1014.6879043834,957.390667045172,Hold Buy/Liquidate Short
63,2017-08-14,64,INFY,EQ,987.7,988.0,989.2,977.15,982.0,981.45,981.62,1908235,1873162935.8,83142,1423038,74.57,2017,8,-0.006327832337754358,Slight or No change,-0.006347937930224157,0.025019364084818314,984.5523809523804,972.5661764705881,985.1535714285716,1013.5273801608864,956.7797626962567,Hold Buy/Liquidate Short
64,2017-08-16,65,INFY,EQ,981.45,982.0,986.1,969.0,979.35,975.2,975.79,3089040,3014254126.05,73688,2010754,65.09,2017,8,-0.006368128789036587,Slight or No change,-0.006388491816795634,0.0257280104469765,984.1309523809517,974.0514705882354,983.8071428571433,1012.1513691622504,955.462916552036,Hold Buy/Liquidate Short
65,2017-08-17,66,INFY,EQ,975.2,1005.0,1029.25,998.05,1021.05,1020.85,1012.61,12892130,13054759560.6,219380,8130105,63.06,2017,8,0.046810910582444576,Slight or No change,0.04574831441514681,0.04853541567036936,985.8095238095233,976.7176470588232,987.3642857142861,1020.8459323186664,953.8826391099057,Hold Buy/Liquidate Short
66,2017-08-18,67,INFY,EQ,1020.85,1017.9,1017.9,884.2,923.15,923.25,932.15,82202480,76625024333.45,1192900,42028494,51.13,2017,8,-0.09560660234118634,Slight or No change,-0.10049083884953612,0.11946001617034464,983.1142857142853,976.355882352941,982.071428571429,1029.3416617531568,934.8011953897012,Buy
67,2017-08-21,68,INFY,EQ,923.25,924.0,924.0,870.0,870.15,873.4,888.68,45203588,40171479151.0,844350,20137307,44.55,2017,8,-0.053994042783644725,Slight or No change,-0.055506412681212,0.12777062910299244,978.5404761904757,974.0470588235293,972.2285714285716,1044.2685252393214,900.1886176178219,Buy
68,2017-08-22,69,INFY,EQ,873.4,895.2,897.05,860.0,876.0,875.4,876.3,24621299,21575553323.6,436450,10004177,40.63,2017,8,0.002289901534233918,Slight or No change,0.0022872837053342704,0.1256857366676697,973.5547619047617,971.495588235294,962.9321428571433,1048.7265806107098,877.1377051035766,Buy
69,2017-08-23,70,INFY,EQ,875.4,880.0,903.7,873.9,893.4,892.8,890.37,30642095,27282913878.8,431562,15763891,51.45,2017,8,0.01987662782727884,Slight or No change,0.01968166687025141,0.12911080324128174,968.8999999999997,969.786764705882,955.7500000000003,1047.2222908863666,864.2777091136337,Hold Buy/Liquidate Short
70,2017-08-24,71,INFY,EQ,892.8,910.0,918.25,902.35,911.5,912.15,910.72,21190262,19298432842.1,379260,13139149,62.01,2017,8,0.021673387096774244,Slight or No change,0.021441858607181983,0.1340372923810904,965.0095238095237,968.7617647058822,950.6178571428574,1043.31668799718,857.9190262885347,Hold Buy/Liquidate Short
71,2017-08-28,72,INFY,EQ,912.15,943.95,953.95,938.0,940.3,941.0,944.82,20356054,19232850863.35,339901,11887057,58.4,2017,8,0.031628569862413025,Slight or No change,0.03113868935115125,0.14046666178951064,962.4833333333332,968.9264705882354,947.564285714286,1038.3585792368626,856.7699921917091,Hold Buy/Liquidate Short
72,2017-08-29,73,INFY,EQ,941.0,941.45,942.0,925.55,926.75,927.45,933.49,6684696,6240109664.25,148591,3807364,56.96,2017,8,-0.014399574920297531,Slight or No change,-0.014504254912692187,0.127328457483083,960.4071428571428,968.0558823529407,944.6500000000003,1035.2029934093002,854.0970065907004,Hold Buy/Liquidate Short
73,2017-08-30,74,INFY,EQ,927.45,937.2,939.0,924.1,926.7,926.65,930.56,8074832,7514125821.5,147639,4723273,58.49,2017,8,-0.000862580193002338,Slight or No change,-0.0008629524293682228,0.07722784926075878,957.0404761904764,966.6235294117644,941.9928571428574,1032.3017446613917,851.6839696243231,Hold Buy/Liquidate Short
74,2017-08-31,75,INFY,EQ,926.65,928.8,928.95,912.9,915.0,914.95,916.78,7511226,6886139481.45,174045,4983033,66.34,2017,8,-0.012626126369179258,Slight or No change,-0.012706513269622985,0.046907379968653136,952.4571428571428,964.9352941176468,938.1071428571432,1028.0259597219892,848.1883259922969,Hold Buy/Liquidate Short
75,2017-09-01,76,INFY,EQ,914.95,915.95,925.9,910.0,919.85,919.95,919.57,4216961,3877809875.8,81607,2288888,54.28,2017,9,0.0054647794961473215,Slight or No change,0.005449901766406225,0.046671064712564776,948.3809523809523,963.2558823529407,933.7285714285716,1020.5130056433443,846.9441372137993,Hold Buy/Liquidate Short
76,2017-09-04,77,INFY,EQ,919.95,921.0,921.1,893.5,899.95,900.2,904.13,5088554,4600718442.35,141455,2605004,51.19,2017,9,-0.02146855807380832,Slight or No change,-0.021702359881270068,0.05172094406231016,943.9452380952383,961.1426470588233,927.4785714285716,1010.0187687618974,844.9383740952461,Hold Buy/Liquidate Short
77,2017-09-05,78,INFY,EQ,900.2,902.0,905.0,897.25,901.0,901.9,901.02,4891696,4407506232.1,79400,3043364,62.21,2017,9,0.001888469229060164,Slight or No change,0.0018866883128301145,0.04618334274164651,940.0357142857147,958.7264705882347,921.7964285714287,999.1193425231044,844.4735146197532,Hold Buy/Liquidate Short
